Countrycode,Seriescode,Description
AFG,NE.CON.PRVT.PP.KD,Estimates are based on regression.
AFG,NY.GDP.MKTP.PP.CD,Estimates are based on regression.
AFG,NY.GDP.MKTP.PP.KD,Estimates are based on regression.
AFG,NY.GDP.PCAP.PP.CD,Estimates are based on regression.
AFG,NY.GDP.PCAP.PP.KD,Estimates are based on regression.
AFG,NY.GNP.MKTP.PP.CD,Estimates are based on regression.
AFG,NY.GNP.MKTP.PP.KD,Estimates are based on regression.
AFG,NY.GNP.PCAP.PP.CD,Estimates are based on regression.
AFG,NY.GNP.PCAP.PP.KD,Estimates are based on regression.
AFG,PA.NUS.PPP,Estimates are based on regression.
AFG,PA.NUS.PPPC.RF,Estimates are based on regression.
AFG,PA.NUS.PRVT.PP,Estimates are based on regression.
AFG,SH.XPD.EXTR.ZS,Non-profit institutions (such as NGOs) serving households are accounted for in external assistance and recorded under government expenditure.
AFG,SH.XPD.OOPC.TO.ZS,Non-profit institutions (such as NGOs) serving households are accounted for in external assistance and recorded under government expenditure.
AFG,SH.XPD.OOPC.ZS,Non-profit institutions (such as NGOs) serving households are accounted for in external assistance and recorded under government expenditure.
AFG,SH.XPD.PCAP,Non-profit institutions (such as NGOs) serving households are accounted for in external assistance and recorded under government expenditure.
AFG,SH.XPD.PCAP.PP.KD,Non-profit institutions (such as NGOs) serving households are accounted for in external assistance and recorded under government expenditure.
AFG,SH.XPD.PRIV.ZS,Non-profit institutions (such as NGOs) serving households are accounted for in external assistance and recorded under government expenditure.
AFG,SH.XPD.PUBL,Non-profit institutions (such as NGOs) serving households are accounted for in external assistance and recorded under government expenditure.
AFG,SH.XPD.PUBL.GX.ZS,Non-profit institutions (such as NGOs) serving households are accounted for in external assistance and recorded under government expenditure.
AFG,SH.XPD.PUBL.ZS,Non-profit institutions (such as NGOs) serving households are accounted for in external assistance and recorded under government expenditure.
AFG,SH.XPD.TOTL.ZS,Non-profit institutions (such as NGOs) serving households are accounted for in external assistance and recorded under government expenditure.
AFG,SM.POP.NETM,Data sources : United Nations World Population Prospects
AFG,SM.POP.TOTL,Estimates are derived from data on foreign-born population.
AFG,SP.DYN.AMRT.FE,Data source : United Nations World Population Prospects
AFG,SP.DYN.AMRT.MA,Data source : United Nations World Population Prospects
AFG,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
AFG,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
AFG,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
AFG,SP.DYN.LE00.IN,Derived using male and female life expectancy
AFG,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
AFG,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
AFG,SP.POP.GROW,Data sources: United Nations World Population Prospects
AFG,SP.POP.TOTL,Data sources : United Nations World Population Prospects
AGO,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2014 are based on reports provided by the country. Long-term private nonguaranteed debt data are not available. Short-term debt data for 2014 are based on reports provided by the country.
AGO,EG.EGY.PRIM.PP.KD,"Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
AGO,EG.ELC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
AGO,EG.FEC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
AGO,SH.XPD.EXTR.ZS,Some estimates should be viewed with caution as these are derived from scarce data.
AGO,SH.XPD.OOPC.TO.ZS,Some estimates should be viewed with caution as these are derived from scarce data.
AGO,SH.XPD.OOPC.ZS,Some estimates should be viewed with caution as these are derived from scarce data.
AGO,SH.XPD.PCAP,Some estimates should be viewed with caution as these are derived from scarce data.
AGO,SH.XPD.PCAP.PP.KD,Some estimates should be viewed with caution as these are derived from scarce data.
AGO,SH.XPD.PRIV.ZS,Some estimates should be viewed with caution as these are derived from scarce data.
AGO,SH.XPD.PUBL,Some estimates should be viewed with caution as these are derived from scarce data.
AGO,SH.XPD.PUBL.GX.ZS,Some estimates should be viewed with caution as these are derived from scarce data.
AGO,SH.XPD.PUBL.ZS,Some estimates should be viewed with caution as these are derived from scarce data.
AGO,SH.XPD.TOTL.ZS,Some estimates should be viewed with caution as these are derived from scarce data.
AGO,SM.POP.NETM,Data sources : United Nations World Population Prospects
AGO,SM.POP.TOTL,Estimates are derived from data on foreign-born population. Number of refugees reported by the UN Refugee Agency (UNHCR) are added to the migrant stock estimates.
AGO,SP.DYN.AMRT.FE,Data source : United Nations World Population Prospects
AGO,SP.DYN.AMRT.MA,Data source : United Nations World Population Prospects
AGO,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
AGO,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
AGO,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
AGO,SP.DYN.LE00.IN,Derived using male and female life expectancy
AGO,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
AGO,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
AGO,SP.POP.GROW,Data sources: United Nations World Population Prospects
AGO,SP.POP.TOTL,Data sources : United Nations World Population Prospects
ALB,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2014 are based on reports provided by the country. Long-term private nonguaranteed and short-term debt data for 2014 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).
ALB,EG.EGY.PRIM.PP.KD,"Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
ALB,EG.ELC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
ALB,EG.FEC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
ALB,FB.AST.NPER.ZS,Non FSI Reporter: Data for this indicator collected from IMF Area Department and may not follow the FSI Compilation Guide.
ALB,FB.BNK.CAPA.ZS,Non FSI Reporter: Data for this indicator collected from IMF Area Department and may not follow the FSI Compilation Guide.
ALB,SH.XPD.PCAP,Changes for per capita values are due to fluctuations in the US$ exchange rates.
ALB,SM.POP.NETM,Data sources : United Nations World Population Prospects
ALB,SM.POP.TOTL,Estimates are derived from data on foreign population. Foreign population is people who are citizens of a country other the country in which they reside.
ALB,SP.DYN.AMRT.FE,Data source : United Nations World Population Prospects
ALB,SP.DYN.AMRT.MA,Data source : United Nations World Population Prospects
ALB,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
ALB,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
ALB,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
ALB,SP.DYN.LE00.IN,Derived using male and female life expectancy
ALB,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
ALB,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
ALB,SP.POP.GROW,Data sources: United Nations World Population Prospects
ALB,SP.POP.TOTL,"Data sources : Institute of Statistics, Eurostat"
ARE,CM.MKT.TRNR,Method of calculation: Total domestic value of share trading of Abu Dhabi Serurities Market and Dubai Financial Market divided by total domestic market capitalization of the two exchanges.
ARE,EG.EGY.PRIM.PP.KD,"Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
ARE,EG.ELC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
ARE,EG.FEC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
ARE,FB.AST.NPER.ZS,Non FSI Reporter: Data for this indicator collected from IMF Area Department and may not follow the FSI Compilation Guide.
ARE,FB.BNK.CAPA.ZS,Non FSI Reporter: Data for this indicator collected from IMF Area Department and may not follow the FSI Compilation Guide.
ARE,SM.POP.NETM,Data sources : United Nations World Population Prospects
ARE,SM.POP.TOTL,Estimates are derived from data on foreign population. Foreign population is people who are citizens of a country other the country in which they reside. Number of refugees reported by the UN Refugee Agency (UNHCR) are added to the migrant stock estimates.
ARE,SP.DYN.AMRT.FE,Data source : United Nations World Population Prospects
ARE,SP.DYN.AMRT.MA,Data source : United Nations World Population Prospects
ARE,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
ARE,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
ARE,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
ARE,SP.DYN.LE00.IN,Derived using male and female life expectancy
ARE,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
ARE,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
ARE,SP.POP.GROW,Data sources: United Nations World Population Prospects
ARE,SP.POP.TOTL,Data sources : United Nations World Population Prospects
ARG,EG.EGY.PRIM.PP.KD,"Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
ARG,EG.ELC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
ARG,EG.FEC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
ARG,EG.GDP.PUSE.KO.PP,Data series will be calculated once ongoing revisions to official statistics reported by the National Statistics and Censuses Institute of Argentina have been finalized.
ARG,EG.GDP.PUSE.KO.PP.KD,Data series will be calculated once ongoing revisions to official statistics reported by the National Statistics and Censuses Institute of Argentina have been finalized.
ARG,EG.USE.COMM.GD.PP.KD,Data series will be calculated once ongoing revisions to official statistics reported by the National Statistics and Censuses Institute of Argentina have been finalized.
ARG,EN.ATM.CO2E.PP.GD,Data series will be calculated once ongoing revisions to official statistics reported by the National Statistics and Censuses Institute of Argentina have been finalized.
ARG,EN.ATM.CO2E.PP.GD.KD,Data series will be calculated once ongoing revisions to official statistics reported by the National Statistics and Censuses Institute of Argentina have been finalized.
ARG,FP.CPI.TOTL,"Data are officially reported statistics by the National Statistics and Censuses Institute of Argentina. On February 1, 2013, the International Monetary Fund (IMF) issued a declaration of censure, and in December 2013 called on Argentina to implement specified actions to address the quality of its official GDP data according to a specified timetable. On June 3, 2015, the IMF Executive Board recognized the material progress in remedying the inaccurate provision of data since 2013, but found that some specified actions called for by the end of February 2015 had not yet been completely implemented. The IMF Executive Board will review this issue again by July 15, 2016."
ARG,FP.CPI.TOTL.ZG,"Data are officially reported statistics by the National Statistics and Censuses Institute of Argentina. On February 1, 2013, the International Monetary Fund (IMF) issued a declaration of censure, and in December 2013 called on Argentina to implement specified actions to address the quality of its official GDP data according to a specified timetable. On June 3, 2015, the IMF Executive Board recognized the material progress in remedying the inaccurate provision of data since 2013, but found that some specified actions called for by the end of February 2015 had not yet been completely implemented. The IMF Executive Board will review this issue again by July 15, 2016."
ARG,FP.WPI.TOTL,"Data are officially reported statistics by the National Statistics and Censuses Institute of Argentina. On February 1, 2013, the International Monetary Fund (IMF) issued a declaration of censure, and in December 2013 called on Argentina to implement specified actions to address the quality of its official GDP data according to a specified timetable. On June 3, 2015, the IMF Executive Board recognized the material progress in remedying the inaccurate provision of data since 2013, but found that some specified actions called for by the end of February 2015 had not yet been completely implemented. The IMF Executive Board will review this issue again by July 15, 2016."
ARG,NE.CON.GOVT.KD,"Based on data officially reported by the National Statistics and Censuses Institute of Argentina. On February 1, 2013, the International Monetary Fund (IMF) issued a declaration of censure, and in December 2013 called on Argentina to implement specified actions to address the quality of its official GDP data according to a specified timetable. On June 3, 2015, the IMF Executive Board recognized the material progress in remedying the inaccurate provision of data since 2013, but found that some specified actions called for by the end of February 2015 had not yet been completely implemented. The IMF Executive Board will review this issue again by July 15, 2016."
ARG,NE.CON.GOVT.KD.ZG,"Data are officially reported statistics by the National Statistics and Censuses Institute of Argentina. On February 1, 2013, the International Monetary Fund (IMF) issued a declaration of censure, and in December 2013 called on Argentina to implement specified actions to address the quality of its official GDP data according to a specified timetable. On June 3, 2015, the IMF Executive Board recognized the material progress in remedying the inaccurate provision of data since 2013, but found that some specified actions called for by the end of February 2015 had not yet been completely implemented. The IMF Executive Board will review this issue again by July 15, 2016."
ARG,NE.CON.GOVT.KN,"Data are officially reported statistics by the National Statistics and Censuses Institute of Argentina. On February 1, 2013, the International Monetary Fund (IMF) issued a declaration of censure, and in December 2013 called on Argentina to implement specified actions to address the quality of its official GDP data according to a specified timetable. On June 3, 2015, the IMF Executive Board recognized the material progress in remedying the inaccurate provision of data since 2013, but found that some specified actions called for by the end of February 2015 had not yet been completely implemented. The IMF Executive Board will review this issue again by July 15, 2016."
ARG,NE.CON.PETC.KD,"Based on data officially reported by the National Statistics and Censuses Institute of Argentina. On February 1, 2013, the International Monetary Fund (IMF) issued a declaration of censure, and in December 2013 called on Argentina to implement specified actions to address the quality of its official GDP data according to a specified timetable. On June 3, 2015, the IMF Executive Board recognized the material progress in remedying the inaccurate provision of data since 2013, but found that some specified actions called for by the end of February 2015 had not yet been completely implemented. The IMF Executive Board will review this issue again by July 15, 2016."
ARG,NE.CON.PETC.KD.ZG,"Data are officially reported statistics by the National Statistics and Censuses Institute of Argentina. On February 1, 2013, the International Monetary Fund (IMF) issued a declaration of censure, and in December 2013 called on Argentina to implement specified actions to address the quality of its official GDP data according to a specified timetable. On June 3, 2015, the IMF Executive Board recognized the material progress in remedying the inaccurate provision of data since 2013, but found that some specified actions called for by the end of February 2015 had not yet been completely implemented. The IMF Executive Board will review this issue again by July 15, 2016."
ARG,NE.CON.PETC.KN,"Data are officially reported statistics by the National Statistics and Censuses Institute of Argentina. On February 1, 2013, the International Monetary Fund (IMF) issued a declaration of censure, and in December 2013 called on Argentina to implement specified actions to address the quality of its official GDP data according to a specified timetable. On June 3, 2015, the IMF Executive Board recognized the material progress in remedying the inaccurate provision of data since 2013, but found that some specified actions called for by the end of February 2015 had not yet been completely implemented. The IMF Executive Board will review this issue again by July 15, 2016."
ARG,NE.CON.PRVT.KD,"Based on data officially reported by the National Statistics and Censuses Institute of Argentina. On February 1, 2013, the International Monetary Fund (IMF) issued a declaration of censure, and in December 2013 called on Argentina to implement specified actions to address the quality of its official GDP data according to a specified timetable. On June 3, 2015, the IMF Executive Board recognized the material progress in remedying the inaccurate provision of data since 2013, but found that some specified actions called for by the end of February 2015 had not yet been completely implemented. The IMF Executive Board will review this issue again by July 15, 2016."
ARG,NE.CON.PRVT.KD.ZG,"Data are officially reported statistics by the National Statistics and Censuses Institute of Argentina. On February 1, 2013, the International Monetary Fund (IMF) issued a declaration of censure, and in December 2013 called on Argentina to implement specified actions to address the quality of its official GDP data according to a specified timetable. On June 3, 2015, the IMF Executive Board recognized the material progress in remedying the inaccurate provision of data since 2013, but found that some specified actions called for by the end of February 2015 had not yet been completely implemented. The IMF Executive Board will review this issue again by July 15, 2016."
ARG,NE.CON.PRVT.KN,"Data are officially reported statistics by the National Statistics and Censuses Institute of Argentina. On February 1, 2013, the International Monetary Fund (IMF) issued a declaration of censure, and in December 2013 called on Argentina to implement specified actions to address the quality of its official GDP data according to a specified timetable. On June 3, 2015, the IMF Executive Board recognized the material progress in remedying the inaccurate provision of data since 2013, but found that some specified actions called for by the end of February 2015 had not yet been completely implemented. The IMF Executive Board will review this issue again by July 15, 2016."
ARG,NE.CON.PRVT.PC.KD,"Based on data officially reported by the National Statistics and Censuses Institute of Argentina. On February 1, 2013, the International Monetary Fund (IMF) issued a declaration of censure, and in December 2013 called on Argentina to implement specified actions to address the quality of its official GDP data according to a specified timetable. On June 3, 2015, the IMF Executive Board recognized the material progress in remedying the inaccurate provision of data since 2013, but found that some specified actions called for by the end of February 2015 had not yet been completely implemented. The IMF Executive Board will review this issue again by July 15, 2016."
ARG,NE.CON.PRVT.PC.KD.ZG,"Based on data officially reported by the National Statistics and Censuses Institute of Argentina. On February 1, 2013, the International Monetary Fund (IMF) issued a declaration of censure, and in December 2013 called on Argentina to implement specified actions to address the quality of its official GDP data according to a specified timetable. On June 3, 2015, the IMF Executive Board recognized the material progress in remedying the inaccurate provision of data since 2013, but found that some specified actions called for by the end of February 2015 had not yet been completely implemented. The IMF Executive Board will review this issue again by July 15, 2016."
ARG,NE.CON.PRVT.PP.CD,Data series will be calculated once ongoing revisions to official statistics reported by the National Statistics and Censuses Institute of Argentina have been finalized.
ARG,NE.CON.PRVT.PP.KD,Data series will be calculated once ongoing revisions to official statistics reported by the National Statistics and Censuses Institute of Argentina have been finalized.
ARG,NE.CON.TETC.KD,"Based on data officially reported by the National Statistics and Censuses Institute of Argentina. On February 1, 2013, the International Monetary Fund (IMF) issued a declaration of censure, and in December 2013 called on Argentina to implement specified actions to address the quality of its official GDP data according to a specified timetable. On June 3, 2015, the IMF Executive Board recognized the material progress in remedying the inaccurate provision of data since 2013, but found that some specified actions called for by the end of February 2015 had not yet been completely implemented. The IMF Executive Board will review this issue again by July 15, 2016."
ARG,NE.CON.TETC.KD.ZG,"Data are officially reported statistics by the National Statistics and Censuses Institute of Argentina. On February 1, 2013, the International Monetary Fund (IMF) issued a declaration of censure, and in December 2013 called on Argentina to implement specified actions to address the quality of its official GDP data according to a specified timetable. On June 3, 2015, the IMF Executive Board recognized the material progress in remedying the inaccurate provision of data since 2013, but found that some specified actions called for by the end of February 2015 had not yet been completely implemented. The IMF Executive Board will review this issue again by July 15, 2016."
ARG,NE.CON.TETC.KN,"Data are officially reported statistics by the National Statistics and Censuses Institute of Argentina. On February 1, 2013, the International Monetary Fund (IMF) issued a declaration of censure, and in December 2013 called on Argentina to implement specified actions to address the quality of its official GDP data according to a specified timetable. On June 3, 2015, the IMF Executive Board recognized the material progress in remedying the inaccurate provision of data since 2013, but found that some specified actions called for by the end of February 2015 had not yet been completely implemented. The IMF Executive Board will review this issue again by July 15, 2016."
ARG,NE.CON.TOTL.KD,"Based on data officially reported by the National Statistics and Censuses Institute of Argentina. On February 1, 2013, the International Monetary Fund (IMF) issued a declaration of censure, and in December 2013 called on Argentina to implement specified actions to address the quality of its official GDP data according to a specified timetable. On June 3, 2015, the IMF Executive Board recognized the material progress in remedying the inaccurate provision of data since 2013, but found that some specified actions called for by the end of February 2015 had not yet been completely implemented. The IMF Executive Board will review this issue again by July 15, 2016."
ARG,NE.CON.TOTL.KN,"Data are officially reported statistics by the National Statistics and Censuses Institute of Argentina. On February 1, 2013, the International Monetary Fund (IMF) issued a declaration of censure, and in December 2013 called on Argentina to implement specified actions to address the quality of its official GDP data according to a specified timetable. On June 3, 2015, the IMF Executive Board recognized the material progress in remedying the inaccurate provision of data since 2013, but found that some specified actions called for by the end of February 2015 had not yet been completely implemented. The IMF Executive Board will review this issue again by July 15, 2016."
ARG,NE.DAB.TOTL.KD,"Based on data officially reported by the National Statistics and Censuses Institute of Argentina. On February 1, 2013, the International Monetary Fund (IMF) issued a declaration of censure, and in December 2013 called on Argentina to implement specified actions to address the quality of its official GDP data according to a specified timetable. On June 3, 2015, the IMF Executive Board recognized the material progress in remedying the inaccurate provision of data since 2013, but found that some specified actions called for by the end of February 2015 had not yet been completely implemented. The IMF Executive Board will review this issue again by July 15, 2016."
ARG,NE.DAB.TOTL.KN,"Data are officially reported statistics by the National Statistics and Censuses Institute of Argentina. On February 1, 2013, the International Monetary Fund (IMF) issued a declaration of censure, and in December 2013 called on Argentina to implement specified actions to address the quality of its official GDP data according to a specified timetable. On June 3, 2015, the IMF Executive Board recognized the material progress in remedying the inaccurate provision of data since 2013, but found that some specified actions called for by the end of February 2015 had not yet been completely implemented. The IMF Executive Board will review this issue again by July 15, 2016."
ARG,NE.EXP.GNFS.KD,"Based on data officially reported by the National Statistics and Censuses Institute of Argentina. On February 1, 2013, the International Monetary Fund (IMF) issued a declaration of censure, and in December 2013 called on Argentina to implement specified actions to address the quality of its official GDP data according to a specified timetable. On June 3, 2015, the IMF Executive Board recognized the material progress in remedying the inaccurate provision of data since 2013, but found that some specified actions called for by the end of February 2015 had not yet been completely implemented. The IMF Executive Board will review this issue again by July 15, 2016."
ARG,NE.EXP.GNFS.KD.ZG,"Data are officially reported statistics by the National Statistics and Censuses Institute of Argentina. On February 1, 2013, the International Monetary Fund (IMF) issued a declaration of censure, and in December 2013 called on Argentina to implement specified actions to address the quality of its official GDP data according to a specified timetable. On June 3, 2015, the IMF Executive Board recognized the material progress in remedying the inaccurate provision of data since 2013, but found that some specified actions called for by the end of February 2015 had not yet been completely implemented. The IMF Executive Board will review this issue again by July 15, 2016."
ARG,NE.EXP.GNFS.KN,"Data are officially reported statistics by the National Statistics and Censuses Institute of Argentina. On February 1, 2013, the International Monetary Fund (IMF) issued a declaration of censure, and in December 2013 called on Argentina to implement specified actions to address the quality of its official GDP data according to a specified timetable. On June 3, 2015, the IMF Executive Board recognized the material progress in remedying the inaccurate provision of data since 2013, but found that some specified actions called for by the end of February 2015 had not yet been completely implemented. The IMF Executive Board will review this issue again by July 15, 2016."
ARG,NE.GDI.FTOT.KD,"Based on data officially reported by the National Statistics and Censuses Institute of Argentina. On February 1, 2013, the International Monetary Fund (IMF) issued a declaration of censure, and in December 2013 called on Argentina to implement specified actions to address the quality of its official GDP data according to a specified timetable. On June 3, 2015, the IMF Executive Board recognized the material progress in remedying the inaccurate provision of data since 2013, but found that some specified actions called for by the end of February 2015 had not yet been completely implemented. The IMF Executive Board will review this issue again by July 15, 2016."
ARG,NE.GDI.FTOT.KD.ZG,"Data are officially reported statistics by the National Statistics and Censuses Institute of Argentina. On February 1, 2013, the International Monetary Fund (IMF) issued a declaration of censure, and in December 2013 called on Argentina to implement specified actions to address the quality of its official GDP data according to a specified timetable. On June 3, 2015, the IMF Executive Board recognized the material progress in remedying the inaccurate provision of data since 2013, but found that some specified actions called for by the end of February 2015 had not yet been completely implemented. The IMF Executive Board will review this issue again by July 15, 2016."
ARG,NE.GDI.FTOT.KN,"Data are officially reported statistics by the National Statistics and Censuses Institute of Argentina. On February 1, 2013, the International Monetary Fund (IMF) issued a declaration of censure, and in December 2013 called on Argentina to implement specified actions to address the quality of its official GDP data according to a specified timetable. On June 3, 2015, the IMF Executive Board recognized the material progress in remedying the inaccurate provision of data since 2013, but found that some specified actions called for by the end of February 2015 had not yet been completely implemented. The IMF Executive Board will review this issue again by July 15, 2016."
ARG,NE.GDI.STKB.KN,"Data are officially reported statistics by the National Statistics and Censuses Institute of Argentina. On February 1, 2013, the International Monetary Fund (IMF) issued a declaration of censure, and in December 2013 called on Argentina to implement specified actions to address the quality of its official GDP data according to a specified timetable. On June 3, 2015, the IMF Executive Board recognized the material progress in remedying the inaccurate provision of data since 2013, but found that some specified actions called for by the end of February 2015 had not yet been completely implemented. The IMF Executive Board will review this issue again by July 15, 2016."
ARG,NE.GDI.TOTL.KD,"Based on data officially reported by the National Statistics and Censuses Institute of Argentina. On February 1, 2013, the International Monetary Fund (IMF) issued a declaration of censure, and in December 2013 called on Argentina to implement specified actions to address the quality of its official GDP data according to a specified timetable. On June 3, 2015, the IMF Executive Board recognized the material progress in remedying the inaccurate provision of data since 2013, but found that some specified actions called for by the end of February 2015 had not yet been completely implemented. The IMF Executive Board will review this issue again by July 15, 2016."
ARG,NE.GDI.TOTL.KD.ZG,"Data are officially reported statistics by the National Statistics and Censuses Institute of Argentina. On February 1, 2013, the International Monetary Fund (IMF) issued a declaration of censure, and in December 2013 called on Argentina to implement specified actions to address the quality of its official GDP data according to a specified timetable. On June 3, 2015, the IMF Executive Board recognized the material progress in remedying the inaccurate provision of data since 2013, but found that some specified actions called for by the end of February 2015 had not yet been completely implemented. The IMF Executive Board will review this issue again by July 15, 2016."
ARG,NE.GDI.TOTL.KN,"Data are officially reported statistics by the National Statistics and Censuses Institute of Argentina. On February 1, 2013, the International Monetary Fund (IMF) issued a declaration of censure, and in December 2013 called on Argentina to implement specified actions to address the quality of its official GDP data according to a specified timetable. On June 3, 2015, the IMF Executive Board recognized the material progress in remedying the inaccurate provision of data since 2013, but found that some specified actions called for by the end of February 2015 had not yet been completely implemented. The IMF Executive Board will review this issue again by July 15, 2016."
ARG,NE.IMP.GNFS.KD,"Based on data officially reported by the National Statistics and Censuses Institute of Argentina. On February 1, 2013, the International Monetary Fund (IMF) issued a declaration of censure, and in December 2013 called on Argentina to implement specified actions to address the quality of its official GDP data according to a specified timetable. On June 3, 2015, the IMF Executive Board recognized the material progress in remedying the inaccurate provision of data since 2013, but found that some specified actions called for by the end of February 2015 had not yet been completely implemented. The IMF Executive Board will review this issue again by July 15, 2016."
ARG,NE.IMP.GNFS.KD.ZG,"Data are officially reported statistics by the National Statistics and Censuses Institute of Argentina. On February 1, 2013, the International Monetary Fund (IMF) issued a declaration of censure, and in December 2013 called on Argentina to implement specified actions to address the quality of its official GDP data according to a specified timetable. On June 3, 2015, the IMF Executive Board recognized the material progress in remedying the inaccurate provision of data since 2013, but found that some specified actions called for by the end of February 2015 had not yet been completely implemented. The IMF Executive Board will review this issue again by July 15, 2016."
ARG,NE.IMP.GNFS.KN,"Data are officially reported statistics by the National Statistics and Censuses Institute of Argentina. On February 1, 2013, the International Monetary Fund (IMF) issued a declaration of censure, and in December 2013 called on Argentina to implement specified actions to address the quality of its official GDP data according to a specified timetable. On June 3, 2015, the IMF Executive Board recognized the material progress in remedying the inaccurate provision of data since 2013, but found that some specified actions called for by the end of February 2015 had not yet been completely implemented. The IMF Executive Board will review this issue again by July 15, 2016."
ARG,NE.RSB.GNFS.KN,"Data are officially reported statistics by the National Statistics and Censuses Institute of Argentina. On February 1, 2013, the International Monetary Fund (IMF) issued a declaration of censure, and in December 2013 called on Argentina to implement specified actions to address the quality of its official GDP data according to a specified timetable. On June 3, 2015, the IMF Executive Board recognized the material progress in remedying the inaccurate provision of data since 2013, but found that some specified actions called for by the end of February 2015 had not yet been completely implemented. The IMF Executive Board will review this issue again by July 15, 2016."
