SeriesCode,Topic,IndicatorName,ShortDefinition,LongDefinition,UnitOfMeasure,Periodicity,BasePeriod,OtherNotes,AggregationMethod,LimitationsAndExceptions,NotesFromOriginalSource,GeneralComments,Source,StatisticalConceptAndMethodology,DevelopmentRelevance,RelatedSourceLinks,OtherWebLinks,RelatedIndicators,LicenseType
BN.RES.INCL.CD,Economic Policy & Debt: Balance of payments: Capital & financial account,"Reserves and related items (BoP, current US$)",,"Reserves and related items is the net change in a country's holdings of international reserves resulting from transactions on the current, capital, and financial accounts. Reserve assets are those external assets that are readily available to and controlled by monetary authorities for meeting balance of payments financing needs, and include holdings of monetary gold, special drawing rights (SDRs), reserve position in the International Monetary Fund (IMF), and other reserve assets. Also included are net credit and loans from the IMF (excluding reserve position) and total exceptional financing. Data are in current U.S. dollars.",,Annual,,,,,,"Note: Data are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6) and are only available from 2005 onwards. In BPM6, the headings of the financial account have been changed from credits and debits to net acquisition of financial assets and net incurrence of liabilities; i.e., all changes due to credit and debit entries are recorded on a net basis separately for financial assets and liabilities. Financial account balances are calculated as the change in assets minus the change in liabilities; signs are reversed from previous editions.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,,,,Open
BN.CAB.XOKA.GD.ZS,Economic Policy & Debt: Balance of payments: Current account: Balances,Current account balance (% of GDP),,"Current account balance is the sum of net exports of goods and services, net primary income, and net secondary income.",,Annual,,,,,,Note: Data are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6) and are only available from 2005 onwards.,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,,,,Open
BN.CAB.XOKA.CD,Economic Policy & Debt: Balance of payments: Current account: Balances,"Current account balance (BoP, current US$)",,"Current account balance is the sum of net exports of goods and services, net primary income, and net secondary income. Data are in current U.S. dollars.",,Annual,,,,"Discrepancies may arise in the balance of payments because there is no single source for balance of payments data and therefore no way to ensure that the data are fully consistent. Sources include customs data, monetary accounts of the banking system, external debt records, information provided by enterprises, surveys to estimate service transactions, and foreign exchange records. Differences in collection methods - such as in timing, definitions of residence and ownership, and the exchange rate used to value transactions - contribute to net errors and omissions. In addition, smuggling and other illegal or quasi-legal transactions may be unrecorded or misrecorded.",,Note: Data are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6) and are only available from 2005 onwards.,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","The balance of payments (BoP) is a double-entry accounting system that shows all flows of goods and services into and out of an economy; all transfers that are the counterpart of real resources or financial claims provided to or by the rest of the world without a quid pro quo, such as donations and grants; and all changes in residents' claims on and liabilities to nonresidents that arise from economic transactions. All transactions are recorded twice - once as a credit and once as a debit. In principle the net balance should be zero, but in practice the accounts often do not balance, requiring inclusion of a balancing item, net errors and omissions.

The concepts and definitions underlying the data are based on the sixth edition of the International Monetary Fund's (IMF) Balance of Payments Manual (BPM6). Balance of payments data for 2005 onward will be presented in accord with the BPM6. The historical BPM5 data series will end with data for 2008, which can be accessed through the World Development Indicators archives.

The complete balance of payments methodology can be accessed through the International Monetary Fund website (www.imf.org/external/np/sta/bop/bop.htm).","The balance of payments records an economys transactions with the rest of the world. Balance of payments accounts are divided into two groups: the current account, which records transactions in goods, services, primary income, and secondary income, and the capital and financial account, which records capital transfers, acquisition or disposal of nonproduced, nonfinancial assets, and transactions in financial assets and liabilities. The current account balance is one of the most analytically useful indicators of an external imbalance.

A primary purpose of the balance of payments accounts is to indicate the need to adjust an external imbalance. Where to draw the line for analytical purposes requires a judgment concerning the imbalance that best indicates the need for adjustment. There are a number of definitions in common use for this and related analytical purposes. The trade balance is the difference between exports and imports of goods. From an analytical view it is arbitrary to distinguish goods from services. For example, a unit of foreign exchange earned by a freight company strengthens the balance of payments to the same extent as the foreign exchange earned by a goods exporter. Even so, the trade balance is useful because it is often the most timely indicator of trends in the current account balance. Customs authorities are typically able to provide data on trade in goods long before data on trade in services are available.",,,,Open
BN.GSR.MRCH.CD,Economic Policy & Debt: Balance of payments: Current account: Balances,"Net trade in goods (BoP, current US$)",,Net trade in goods is the difference between exports and imports of goods. Trade in services is not included. Data are in current U.S. dollars.,,Annual,,,,,,Note: Data are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6) and are only available from 2005 onwards.,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,,,,Open
BN.GSR.GNFS.CD,Economic Policy & Debt: Balance of payments: Current account: Balances,"Net trade in goods and services (BoP, current US$)",,Net trade in goods and services is derived by offsetting imports of goods and services against exports of goods and services. Exports and imports of goods and services comprise all transactions involving a change of ownership of goods and services between residents of one country and the rest of the world. Data are in current U.S. dollars.,,Annual,,,,,,Note: Data are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6) and are only available from 2005 onwards.,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,,,,Open
BM.GSR.ROYL.CD,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income","Charges for the use of intellectual property, payments (BoP, current US$)",,"Charges for the use of intellectual property are payments and receipts between residents and nonresidents for the authorized use of proprietary rights (such as patents, trademarks, copyrights, industrial processes and designs including trade secrets, and franchises) and for the use, through licensing agreements, of produced originals or prototypes (such as copyrights on books and manuscripts, computer software, cinematographic works, and sound recordings) and related rights (such as for live performances and television, cable, or satellite broadcast). Data are in current U.S. dollars.",,Annual,,,Sum,,,Note: Data are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6) and are only available from 2005 onwards.,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,,,,Open
BX.GSR.ROYL.CD,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income","Charges for the use of intellectual property, receipts (BoP, current US$)",,"Charges for the use of intellectual property are payments and receipts between residents and nonresidents for the authorized use of proprietary rights (such as patents, trademarks, copyrights, industrial processes and designs including trade secrets, and franchises) and for the use, through licensing agreements, of produced originals or prototypes (such as copyrights on books and manuscripts, computer software, cinematographic works, and sound recordings) and related rights (such as for live performances and television, cable, or satellite broadcast). Data are in current U.S. dollars.",,Annual,,,Sum,,,Note: Data are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6) and are only available from 2005 onwards.,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,,,,Open
BX.GSR.CMCP.ZS,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income","Communications, computer, etc. (% of service exports, BoP)",,"Communications, computer, information, and other services cover international telecommunications; computer data; news-related service transactions between residents and nonresidents; construction services; royalties and license fees; miscellaneous business, professional, and technical services; personal, cultural, and recreational services; manufacturing services on physical inputs owned by others; and maintenance and repair services and government services not included elsewhere.",,Annual,,,Weighted average,,,Note: Data are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6) and are only available from 2005 onwards.,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,,,,Open
BM.GSR.CMCP.ZS,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income","Communications, computer, etc. (% of service imports, BoP)",,"Communications, computer, information, and other services cover international telecommunications; computer data; news-related service transactions between residents and nonresidents; construction services; royalties and license fees; miscellaneous business, professional, and technical services; personal, cultural, and recreational services; manufacturing services on physical inputs owned by others; and maintenance and repair services and government services not included elsewhere.",,Annual,,,Weighted average,,,Note: Data are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6) and are only available from 2005 onwards.,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,,,,Open
BX.GSR.GNFS.CD,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income","Exports of goods and services (BoP, current US$)",,"Exports of goods and services comprise all transactions between residents of a country and the rest of the world involving a change of ownership from residents to nonresidents of general merchandise, net exports of goods under merchanting, nonmonetary gold, and services. Data are in current U.S. dollars.",,Annual,,,Gap-filled total,"Discrepancies may arise in the balance of payments because there is no single source for balance of payments data and therefore no way to ensure that the data are fully consistent. Sources include customs data, monetary accounts of the banking system, external debt records, information provided by enterprises, surveys to estimate service transactions, and foreign exchange records. Differences in collection methods - such as in timing, definitions of residence and ownership, and the exchange rate used to value transactions - contribute to net errors and omissions. In addition, smuggling and other illegal or quasi-legal transactions may be unrecorded or misrecorded.",,Note: Data are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6) and are only available from 2005 onwards.,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","The balance of payments (BoP) is a double-entry accounting system that shows all flows of goods and services into and out of an economy; all transfers that are the counterpart of real resources or financial claims provided to or by the rest of the world without a quid pro quo, such as donations and grants; and all changes in residents' claims on and liabilities to nonresidents that arise from economic transactions. All transactions are recorded twice - once as a credit and once as a debit. In principle the net balance should be zero, but in practice the accounts often do not balance, requiring inclusion of a balancing item, net errors and omissions.

The concepts and definitions underlying the data are based on the sixth edition of the International Monetary Fund's (IMF) Balance of Payments Manual (BPM6). Balance of payments data for 2005 onward will be presented in accord with the BPM6. The historical BPM5 data series will end with data for 2008, which can be accessed through the World Development Indicators archives.

The complete balance of payments methodology can be accessed through the International Monetary Fund website (www.imf.org/external/np/sta/bop/bop.htm).","The balance of payments records an economys transactions with the rest of the world. Balance of payments accounts are divided into two groups: the current account, which records transactions in goods, services, primary income, and secondary income, and the capital and financial account, which records capital transfers, acquisition or disposal of nonproduced, nonfinancial assets, and transactions in financial assets and liabilities. The current account balance is one of the most analytically useful indicators of an external imbalance.

A primary purpose of the balance of payments accounts is to indicate the need to adjust an external imbalance. Where to draw the line for analytical purposes requires a judgment concerning the imbalance that best indicates the need for adjustment. There are a number of definitions in common use for this and related analytical purposes. The trade balance is the difference between exports and imports of goods. From an analytical view it is arbitrary to distinguish goods from services. For example, a unit of foreign exchange earned by a freight company strengthens the balance of payments to the same extent as the foreign exchange earned by a goods exporter. Even so, the trade balance is useful because it is often the most timely indicator of trends in the current account balance. Customs authorities are typically able to provide data on trade in goods long before data on trade in services are available.",,,,Open
BX.GSR.TOTL.CD,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income","Exports of goods, services and primary income (BoP, current US$)",,"Exports of goods, services and primary income is the sum of goods exports, service exports and primary income receipts. Data are in current U.S. dollars.",,Annual,,,Gap-filled total,,,Note: Data are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6) and are only available from 2005 onwards.,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,,,,Open
BX.GSR.MRCH.CD,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income","Goods exports (BoP, current US$)",,Goods exports refer to all movable goods (including nonmonetary gold and net exports of goods under merchanting) involved in a change of ownership from residents to nonresidents. Data are in current U.S. dollars.,,Annual,,,Gap-filled total,,,Note: Data are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6) and are only available from 2005 onwards. Merchanting is reclassified from services to goods.,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,,,,Open
BM.GSR.MRCH.CD,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income","Goods imports (BoP, current US$)",,Goods imports refer to all movable goods (including nonmonetary gold) involved in a change of ownership from nonresidents to residents. Data are in current U.S. dollars.,,Annual,,,Gap-filled total,,,Note: Data are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6) and are only available from 2005 onwards.,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,,,,Open
BM.GSR.GNFS.CD,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income","Imports of goods and services (BoP, current US$)",,"Imports of goods and services comprise all transactions between residents of a country and the rest of the world involving a change of ownership from nonresidents to residents of general merchandise, nonmonetary gold, and services. Data are in current U.S. dollars.",,Annual,,,Gap-filled total,"Discrepancies may arise in the balance of payments because there is no single source for balance of payments data and therefore no way to ensure that the data are fully consistent. Sources include customs data, monetary accounts of the banking system, external debt records, information provided by enterprises, surveys to estimate service transactions, and foreign exchange records. Differences in collection methods - such as in timing, definitions of residence and ownership, and the exchange rate used to value transactions - contribute to net errors and omissions. In addition, smuggling and other illegal or quasi-legal transactions may be unrecorded or misrecorded.",,Note: Data are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6) and are only available from 2005 onwards.,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","The balance of payments (BoP) is a double-entry accounting system that shows all flows of goods and services into and out of an economy; all transfers that are the counterpart of real resources or financial claims provided to or by the rest of the world without a quid pro quo, such as donations and grants; and all changes in residents' claims on and liabilities to nonresidents that arise from economic transactions. All transactions are recorded twice - once as a credit and once as a debit. In principle the net balance should be zero, but in practice the accounts often do not balance, requiring inclusion of a balancing item, net errors and omissions.

The concepts and definitions underlying the data are based on the sixth edition of the International Monetary Fund's (IMF) Balance of Payments Manual (BPM6). Balance of payments data for 2005 onward will be presented in accord with the BPM6. The historical BPM5 data series will end with data for 2008, which can be accessed through the World Development Indicators archives.

The complete balance of payments methodology can be accessed through the International Monetary Fund website (www.imf.org/external/np/sta/bop/bop.htm).","The balance of payments records an economys transactions with the rest of the world. Balance of payments accounts are divided into two groups: the current account, which records transactions in goods, services, primary income, and secondary income, and the capital and financial account, which records capital transfers, acquisition or disposal of nonproduced, nonfinancial assets, and transactions in financial assets and liabilities. The current account balance is one of the most analytically useful indicators of an external imbalance.

A primary purpose of the balance of payments accounts is to indicate the need to adjust an external imbalance. Where to draw the line for analytical purposes requires a judgment concerning the imbalance that best indicates the need for adjustment. There are a number of definitions in common use for this and related analytical purposes. The trade balance is the difference between exports and imports of goods. From an analytical view it is arbitrary to distinguish goods from services. For example, a unit of foreign exchange earned by a freight company strengthens the balance of payments to the same extent as the foreign exchange earned by a goods exporter. Even so, the trade balance is useful because it is often the most timely indicator of trends in the current account balance. Customs authorities are typically able to provide data on trade in goods long before data on trade in services are available.",,,,Open
BM.GSR.TOTL.CD,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income","Imports of goods, services and primary income (BoP, current US$)",,"Imports of goods, services and primary income is the sum of goods imports, service imports and primary income payments. Data are in current U.S. dollars.",,Annual,,,Gap-filled total,,,Note: Data are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6) and are only available from 2005 onwards.,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,,,,Open
BX.GSR.INSF.ZS,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income","Insurance and financial services (% of service exports, BoP)",,"Insurance and financial services cover various types of insurance provided to nonresidents by resident insurance enterprises and vice versa, and financial intermediary and auxiliary services (except those of insurance enterprises and pension funds) exchanged between residents and nonresidents.",,Annual,,,Weighted average,,,Note: Data are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6) and are only available from 2005 onwards.,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,,,,Open
BM.GSR.INSF.ZS,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income","Insurance and financial services (% of service imports, BoP)",,"Insurance and financial services cover various types of insurance provided to nonresidents by resident insurance enterprises and vice versa, and financial intermediary and auxiliary services (except those of insurance enterprises and pension funds) exchanged between residents and nonresidents.",,Annual,,,Weighted average,,,Note: Data are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6) and are only available from 2005 onwards.,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,,,,Open
