Seriescode,Year,Description
SP.DYN.AMRT.FE,YR1968,"Interpolated using data for 1967 and 1972, if the data source is United Nations World Population Prospects."
SP.DYN.AMRT.MA,YR1968,"Interpolated using data for 1967 and 1972, if the data source is United Nations World Population Prospects."
SP.DYN.TO65.FE.ZS,YR1968,Interpolated using data for 1967 and 1972.
SP.DYN.TO65.MA.ZS,YR1968,Interpolated using data for 1967 and 1972.
SP.DYN.TO65.MA.ZS,YR1969,Interpolated using data for 1967 and 1972.
SP.DYN.TO65.FE.ZS,YR1969,Interpolated using data for 1967 and 1972.
SP.DYN.AMRT.MA,YR1969,"Interpolated using data for 1967 and 1972, if the data source is United Nations World Population Prospects."
SP.DYN.AMRT.FE,YR1969,"Interpolated using data for 1967 and 1972, if the data source is United Nations World Population Prospects."
SP.ADO.TFRT,YR1969,Interpolated using data for 1967 and 1972.
SP.ADO.TFRT,YR1970,Interpolated using data for 1967 and 1972.
SP.DYN.AMRT.FE,YR1970,"Interpolated using data for 1967 and 1972, if the data source is United Nations World Population Prospects."
SP.DYN.AMRT.MA,YR1970,"Interpolated using data for 1967 and 1972, if the data source is United Nations World Population Prospects."
SP.DYN.TO65.FE.ZS,YR1970,Interpolated using data for 1967 and 1972.
SP.DYN.TO65.MA.ZS,YR1970,Interpolated using data for 1967 and 1972.
SP.DYN.TO65.MA.ZS,YR1971,Interpolated using data for 1967 and 1972.
SP.DYN.TO65.FE.ZS,YR1971,Interpolated using data for 1967 and 1972.
SP.DYN.AMRT.MA,YR1971,"Interpolated using data for 1967 and 1972, if the data source is United Nations World Population Prospects."
SP.DYN.AMRT.FE,YR1971,"Interpolated using data for 1967 and 1972, if the data source is United Nations World Population Prospects."
SP.ADO.TFRT,YR1971,Interpolated using data for 1967 and 1972.
SP.ADO.TFRT,YR1972,The data refer to 1970-1975.
SP.DYN.AMRT.FE,YR1972,"The data refer to 1970-1975, if the data source is United Nations World Population Prospects."
SM.POP.NETM,YR1972,"The data refer to five-year periods running from 1 July, 1970 to 30 June, 1975."
SP.DYN.AMRT.MA,YR1972,"The data refer to 1970-1975, if the data source is United Nations World Population Prospects."
SP.DYN.TO65.FE.ZS,YR1972,The data refer to 1970-1975.
SP.DYN.TO65.MA.ZS,YR1972,The data refer to 1970-1975.
SP.DYN.TO65.MA.ZS,YR1973,Interpolated using data for 1972 and 1977.
SP.DYN.TO65.FE.ZS,YR1973,Interpolated using data for 1972 and 1977.
SP.DYN.AMRT.MA,YR1973,"Interpolated using data for 1972 and 1977, if the data source is United Nations World Population Prospects."
SP.DYN.AMRT.FE,YR1973,"Interpolated using data for 1972 and 1977, if the data source is United Nations World Population Prospects."
SP.ADO.TFRT,YR1973,Interpolated using data for 1972 and 1977.
SP.ADO.TFRT,YR1974,Interpolated using data for 1972 and 1977.
SP.DYN.AMRT.FE,YR1974,"Interpolated using data for 1972 and 1977, if the data source is United Nations World Population Prospects."
SP.DYN.AMRT.MA,YR1974,"Interpolated using data for 1972 and 1977, if the data source is United Nations World Population Prospects."
SP.DYN.TO65.FE.ZS,YR1974,Interpolated using data for 1972 and 1977.
SP.DYN.TO65.MA.ZS,YR1974,Interpolated using data for 1972 and 1977.
SP.DYN.TO65.MA.ZS,YR1975,Interpolated using data for 1972 and 1977.
SP.DYN.TO65.FE.ZS,YR1975,Interpolated using data for 1972 and 1977.
SP.DYN.AMRT.MA,YR1975,"Interpolated using data for 1972 and 1977, if the data source is United Nations World Population Prospects."
SP.DYN.AMRT.FE,YR1975,"Interpolated using data for 1972 and 1977, if the data source is United Nations World Population Prospects."
SP.ADO.TFRT,YR1975,Interpolated using data for 1972 and 1977.
SP.ADO.TFRT,YR1976,Interpolated using data for 1972 and 1977.
SP.DYN.AMRT.FE,YR1976,"Interpolated using data for 1972 and 1977, if the data source is United Nations World Population Prospects."
SP.DYN.AMRT.MA,YR1976,"Interpolated using data for 1972 and 1977, if the data source is United Nations World Population Prospects."
SP.DYN.TO65.FE.ZS,YR1976,Interpolated using data for 1972 and 1977.
SP.DYN.TO65.MA.ZS,YR1976,Interpolated using data for 1972 and 1977.
SP.DYN.TO65.MA.ZS,YR1977,The data refer to 1975-1980.
SP.DYN.TO65.FE.ZS,YR1977,The data refer to 1975-1980.
SP.DYN.AMRT.MA,YR1977,"The data refer to 1975-1980, if the data source is United Nations World Population Prospects."
SP.DYN.AMRT.FE,YR1977,"The data refer to 1975-1980, if the data source is United Nations World Population Prospects."
SP.ADO.TFRT,YR1977,The data refer to 1975-1980.
SM.POP.NETM,YR1977,"The data refer to five-year periods running from 1 July, 1975 to 30 June, 1980."
SP.ADO.TFRT,YR1978,Interpolated using data for 1977 and 1982.
SP.DYN.AMRT.FE,YR1978,"Interpolated using data for 1977 and 1982, if the data source is United Nations World Population Prospects."
SP.DYN.AMRT.MA,YR1978,"Interpolated using data for 1977 and 1982, if the data source is United Nations World Population Prospects."
SP.DYN.TO65.FE.ZS,YR1978,Interpolated using data for 1977 and 1982.
SP.DYN.TO65.MA.ZS,YR1978,Interpolated using data for 1977 and 1982.
SP.DYN.TO65.MA.ZS,YR1979,Interpolated using data for 1977 and 1982.
SP.DYN.TO65.FE.ZS,YR1979,Interpolated using data for 1977 and 1982.
SP.DYN.AMRT.MA,YR1979,"Interpolated using data for 1977 and 1982, if the data source is United Nations World Population Prospects."
SP.DYN.AMRT.FE,YR1979,"Interpolated using data for 1977 and 1982, if the data source is United Nations World Population Prospects."
SP.ADO.TFRT,YR1979,Interpolated using data for 1977 and 1982.
SP.ADO.TFRT,YR1980,Interpolated using data for 1977 and 1982.
SP.DYN.AMRT.FE,YR1980,"Interpolated using data for 1977 and 1982, if the data source is United Nations World Population Prospects."
SP.DYN.AMRT.MA,YR1980,"Interpolated using data for 1977 and 1982, if the data source is United Nations World Population Prospects."
SP.DYN.TO65.FE.ZS,YR1980,Interpolated using data for 1977 and 1982.
SP.DYN.TO65.MA.ZS,YR1980,Interpolated using data for 1977 and 1982.
SP.DYN.TO65.MA.ZS,YR1981,Interpolated using data for 1977 and 1982.
SP.DYN.TO65.FE.ZS,YR1981,Interpolated using data for 1977 and 1982.
SP.DYN.AMRT.MA,YR1981,"Interpolated using data for 1977 and 1982, if the data source is United Nations World Population Prospects."
SP.DYN.AMRT.FE,YR1981,"Interpolated using data for 1977 and 1982, if the data source is United Nations World Population Prospects."
SP.ADO.TFRT,YR1981,Interpolated using data for 1977 and 1982.
SP.ADO.TFRT,YR1982,The data refer to 1980-1985.
SP.DYN.AMRT.FE,YR1982,"The data refer to 1980-1985, if the data source is United Nations World Population Prospects."
SM.POP.NETM,YR1982,"The data refer to five-year periods running from 1 July, 1980 to 30 June, 1985."
SP.DYN.AMRT.MA,YR1982,"The data refer to 1980-1985, if the data source is United Nations World Population Prospects."
SP.DYN.TO65.FE.ZS,YR1982,The data refer to 1980-1985.
SP.DYN.TO65.MA.ZS,YR1982,The data refer to 1980-1985.
SP.DYN.TO65.MA.ZS,YR1983,Interpolated using data for 1982 and 1987.
SP.DYN.TO65.FE.ZS,YR1983,Interpolated using data for 1982 and 1987.
SP.DYN.AMRT.MA,YR1983,"Interpolated using data for 1982 and 1987, if the data source is United Nations World Population Prospects."
SP.DYN.AMRT.FE,YR1983,"Interpolated using data for 1982 and 1987, if the data source is United Nations World Population Prospects."
SP.ADO.TFRT,YR1983,Interpolated using data for 1982 and 1987.
SP.ADO.TFRT,YR1984,Interpolated using data for 1982 and 1987.
SP.DYN.AMRT.FE,YR1984,"Interpolated using data for 1982 and 1987, if the data source is United Nations World Population Prospects."
SP.DYN.AMRT.MA,YR1984,"Interpolated using data for 1982 and 1987, if the data source is United Nations World Population Prospects."
SP.DYN.TO65.FE.ZS,YR1984,Interpolated using data for 1982 and 1987.
SP.DYN.TO65.MA.ZS,YR1984,Interpolated using data for 1982 and 1987.
SP.DYN.TO65.MA.ZS,YR1985,Interpolated using data for 1982 and 1987.
SP.DYN.TO65.FE.ZS,YR1985,Interpolated using data for 1982 and 1987.
SP.DYN.AMRT.MA,YR1985,"Interpolated using data for 1982 and 1987, if the data source is United Nations World Population Prospects."
SP.DYN.AMRT.FE,YR1985,"Interpolated using data for 1982 and 1987, if the data source is United Nations World Population Prospects."
SP.ADO.TFRT,YR1985,Interpolated using data for 1982 and 1987.
SP.ADO.TFRT,YR1986,Interpolated using data for 1982 and 1987.
SP.DYN.AMRT.FE,YR1986,"Interpolated using data for 1982 and 1987, if the data source is United Nations World Population Prospects."
SP.DYN.AMRT.MA,YR1986,"Interpolated using data for 1982 and 1987, if the data source is United Nations World Population Prospects."
SP.DYN.TO65.FE.ZS,YR1986,Interpolated using data for 1982 and 1987.
SP.DYN.TO65.MA.ZS,YR1986,Interpolated using data for 1982 and 1987.
SP.DYN.TO65.MA.ZS,YR1987,The data refer to 1985-1990.
SP.DYN.TO65.FE.ZS,YR1987,The data refer to 1985-1990.
SP.DYN.AMRT.MA,YR1987,"The data refer to 1985-1990, if the data source is United Nations World Population Prospects."
SP.DYN.AMRT.FE,YR1987,"The data refer to 1985-1990, if the data source is United Nations World Population Prospects."
SP.ADO.TFRT,YR1987,The data refer to 1985-1990.
SM.POP.NETM,YR1987,"The data refer to five-year periods running from 1 July, 1985 to 30 June, 1990."
SP.ADO.TFRT,YR1988,Interpolated using data for 1987 and 1992.
SP.DYN.AMRT.FE,YR1988,"Interpolated using data for 1987 and 1992, if the data source is United Nations World Population Prospects."
SP.DYN.AMRT.MA,YR1988,"Interpolated using data for 1987 and 1992, if the data source is United Nations World Population Prospects."
SP.DYN.TO65.FE.ZS,YR1988,Interpolated using data for 1987 and 1992.
SP.DYN.TO65.MA.ZS,YR1988,Interpolated using data for 1987 and 1992.
SP.DYN.TO65.MA.ZS,YR1989,Interpolated using data for 1987 and 1992.
SP.DYN.TO65.FE.ZS,YR1989,Interpolated using data for 1987 and 1992.
SP.DYN.AMRT.MA,YR1989,"Interpolated using data for 1987 and 1992, if the data source is United Nations World Population Prospects."
SP.DYN.AMRT.FE,YR1989,"Interpolated using data for 1987 and 1992, if the data source is United Nations World Population Prospects."
SP.ADO.TFRT,YR1989,Interpolated using data for 1987 and 1992.
SP.ADO.TFRT,YR1990,Interpolated using data for 1987 and 1992.
SP.DYN.AMRT.FE,YR1990,"Interpolated using data for 1987 and 1992, if the data source is United Nations World Population Prospects."
SP.DYN.AMRT.MA,YR1990,"Interpolated using data for 1987 and 1992, if the data source is United Nations World Population Prospects."
SP.DYN.TO65.FE.ZS,YR1990,Interpolated using data for 1987 and 1992.
SP.DYN.TO65.MA.ZS,YR1990,Interpolated using data for 1987 and 1992.
SP.DYN.TO65.MA.ZS,YR1991,Interpolated using data for 1987 and 1992.
SP.DYN.TO65.FE.ZS,YR1991,Interpolated using data for 1987 and 1992.
SP.DYN.AMRT.MA,YR1991,"Interpolated using data for 1987 and 1992, if the data source is United Nations World Population Prospects."
SP.DYN.AMRT.FE,YR1991,"Interpolated using data for 1987 and 1992, if the data source is United Nations World Population Prospects."
SP.ADO.TFRT,YR1991,Interpolated using data for 1987 and 1992.
SP.ADO.TFRT,YR1992,The data refer to 1990-1995.
SP.DYN.AMRT.FE,YR1992,"The data refer to 1990-1995, if the data source is United Nations World Population Prospects."
SM.POP.NETM,YR1992,"The data refer to five-year periods running from 1 July, 1990 to 30 June, 1995."
SP.DYN.AMRT.MA,YR1992,"The data refer to 1990-1995, if the data source is United Nations World Population Prospects."
SP.DYN.TO65.FE.ZS,YR1992,The data refer to 1990-1995.
SP.DYN.TO65.MA.ZS,YR1992,The data refer to 1990-1995.
SP.DYN.TO65.MA.ZS,YR1993,Interpolated using data for 1992 and 1997.
SP.DYN.TO65.FE.ZS,YR1993,Interpolated using data for 1992 and 1997.
SP.DYN.AMRT.MA,YR1993,"Interpolated using data for 1992 and 1997, if the data source is United Nations World Population Prospects."
SP.DYN.AMRT.FE,YR1993,"Interpolated using data for 1992 and 1997, if the data source is United Nations World Population Prospects."
SP.ADO.TFRT,YR1993,Interpolated using data for 1992 and 1997.
SP.ADO.TFRT,YR1994,Interpolated using data for 1992 and 1997.
SP.DYN.AMRT.FE,YR1994,"Interpolated using data for 1992 and 1997, if the data source is United Nations World Population Prospects."
SP.DYN.AMRT.MA,YR1994,"Interpolated using data for 1992 and 1997, if the data source is United Nations World Population Prospects."
SP.DYN.TO65.FE.ZS,YR1994,Interpolated using data for 1992 and 1997.
SP.DYN.TO65.MA.ZS,YR1994,Interpolated using data for 1992 and 1997.
SP.DYN.TO65.MA.ZS,YR1995,Interpolated using data for 1992 and 1997.
SP.DYN.TO65.FE.ZS,YR1995,Interpolated using data for 1992 and 1997.
SP.DYN.AMRT.MA,YR1995,"Interpolated using data for 1992 and 1997, if the data source is United Nations World Population Prospects."
SP.DYN.AMRT.FE,YR1995,"Interpolated using data for 1992 and 1997, if the data source is United Nations World Population Prospects."
SP.ADO.TFRT,YR1995,Interpolated using data for 1992 and 1997.
SP.ADO.TFRT,YR1996,Interpolated using data for 1992 and 1997.
SP.DYN.AMRT.FE,YR1996,"Interpolated using data for 1992 and 1997, if the data source is United Nations World Population Prospects."
SP.DYN.AMRT.MA,YR1996,"Interpolated using data for 1992 and 1997, if the data source is United Nations World Population Prospects."
SP.DYN.TO65.FE.ZS,YR1996,Interpolated using data for 1992 and 1997.
SP.DYN.TO65.MA.ZS,YR1996,Interpolated using data for 1992 and 1997.
SP.DYN.TO65.MA.ZS,YR1997,The data refer to 1995-2000.
SP.DYN.TO65.FE.ZS,YR1997,The data refer to 1995-2000.
SP.DYN.AMRT.MA,YR1997,"The data refer to 1995-2000, if the data source is United Nations World Population Prospects."
SP.DYN.AMRT.FE,YR1997,"The data refer to 1995-2000, if the data source is United Nations World Population Prospects."
SP.ADO.TFRT,YR1997,The data refer to 1995-2000.
SM.POP.NETM,YR1997,"The data refer to five-year periods running from 1 July, 1995 to 30 June,2000."
SP.ADO.TFRT,YR1998,Interpolated using data for 1997 and 2002.
SP.DYN.AMRT.FE,YR1998,"Interpolated using data for 1997 and 2002, if the data source is United Nations World Population Prospects."
SP.DYN.AMRT.MA,YR1998,"Interpolated using data for 1997 and 2002, if the data source is United Nations World Population Prospects."
SP.DYN.TO65.FE.ZS,YR1998,Interpolated using data for 1997 and 2002.
SP.DYN.TO65.MA.ZS,YR1998,Interpolated using data for 1997 and 2002.
SP.DYN.TO65.MA.ZS,YR1999,Interpolated using data for 1997 and 2002.
SP.DYN.TO65.FE.ZS,YR1999,Interpolated using data for 1997 and 2002.
SP.DYN.AMRT.MA,YR1999,"Interpolated using data for 1997 and 2002, if the data source is United Nations World Population Prospects."
SP.DYN.AMRT.FE,YR1999,"Interpolated using data for 1997 and 2002, if the data source is United Nations World Population Prospects."
SP.ADO.TFRT,YR1999,Interpolated using data for 1997 and 2002.
SP.ADO.TFRT,YR2000,Interpolated using data for 1997 and 2002.
SP.DYN.AMRT.FE,YR2000,"Interpolated using data for 1997 and 2002, if the data source is United Nations World Population Prospects."
SP.DYN.AMRT.MA,YR2000,"Interpolated using data for 1997 and 2002, if the data source is United Nations World Population Prospects."
SP.DYN.TO65.FE.ZS,YR2000,Interpolated using data for 1997 and 2002.
SP.DYN.TO65.MA.ZS,YR2000,Interpolated using data for 1997 and 2002.
SP.DYN.TO65.MA.ZS,YR2001,Interpolated using data for 1997 and 2002.
SP.DYN.TO65.FE.ZS,YR2001,Interpolated using data for 1997 and 2002.
SP.DYN.AMRT.MA,YR2001,"Interpolated using data for 1997 and 2002, if the data source is United Nations World Population Prospects."
SP.DYN.AMRT.FE,YR2001,"Interpolated using data for 1997 and 2002, if the data source is United Nations World Population Prospects."
SP.ADO.TFRT,YR2001,Interpolated using data for 1997 and 2002.
SP.ADO.TFRT,YR2002,The data refer to 2000-2005.
SP.DYN.AMRT.FE,YR2002,"The data refer to 2000-2005, if the data source is United Nations World Population Prospects."
SM.POP.NETM,YR2002,"The data refer to five-year periods running from 1 July, 2000 to 30 June, 2005."
IC.GOV.DURS.ZS,YR2002,The sample was drawn from the manufacturing sector only.
IC.FRM.OUTG.ZS,YR2002,The sample was drawn from the manufacturing sector only.
IC.FRM.TRNG.ZS,YR2002,The sample was drawn from the manufacturing sector only.
IC.TAX.METG,YR2002,The sample was drawn from the manufacturing sector only.
IC.CUS.DURS.EX,YR2002,The sample was drawn from the manufacturing sector only.
IC.FRM.BNKS.ZS,YR2002,The sample was drawn from the manufacturing sector only.
IC.FRM.CORR.ZS,YR2002,The sample was drawn from the manufacturing sector only.
IC.FRM.CRIM.ZS,YR2002,The sample was drawn from the manufacturing sector only.
IC.FRM.DURS,YR2002,The sample was drawn from the manufacturing sector only.
IC.FRM.FEMO.ZS,YR2002,The sample was drawn from the manufacturing sector only.
IC.FRM.FREG.ZS,YR2002,The sample was drawn from the manufacturing sector only.
IC.FRM.ISOC.ZS,YR2002,The sample was drawn from the manufacturing sector only.
SP.DYN.AMRT.MA,YR2002,"The data refer to 2000-2005, if the data source is United Nations World Population Prospects."
SP.DYN.TO65.FE.ZS,YR2002,The data refer to 2000-2005.
SP.DYN.TO65.MA.ZS,YR2002,The data refer to 2000-2005.
SP.DYN.TO65.MA.ZS,YR2003,Interpolated using data for 2002 and 2007.
SP.DYN.TO65.FE.ZS,YR2003,Interpolated using data for 2002 and 2007.
SP.DYN.AMRT.MA,YR2003,"Interpolated using data for 2002 and 2007, if the data source is United Nations World Population Prospects."
IC.FRM.ISOC.ZS,YR2003,The sample was drawn from the manufacturing sector only.
IC.FRM.FREG.ZS,YR2003,The sample was drawn from the manufacturing sector only.
IC.FRM.FEMO.ZS,YR2003,The sample was drawn from the manufacturing sector only.
IC.FRM.DURS,YR2003,The sample was drawn from the manufacturing sector only.
IC.FRM.CRIM.ZS,YR2003,The sample was drawn from the manufacturing sector only.
IC.FRM.CORR.ZS,YR2003,The sample was drawn from the manufacturing sector only.
IC.FRM.BNKS.ZS,YR2003,The sample was drawn from the manufacturing sector only.
IC.CUS.DURS.EX,YR2003,The sample was drawn from the manufacturing sector only.
IC.TAX.METG,YR2003,The sample was drawn from the manufacturing sector only.
IC.FRM.TRNG.ZS,YR2003,The sample was drawn from the manufacturing sector only.
IC.FRM.OUTG.ZS,YR2003,The sample was drawn from the manufacturing sector only.
IC.GOV.DURS.ZS,YR2003,The sample was drawn from the manufacturing sector only.
SP.DYN.AMRT.FE,YR2003,"Interpolated using data for 2002 and 2007, if the data source is United Nations World Population Prospects."
SP.ADO.TFRT,YR2003,Interpolated using data for 2002 and 2007.
SP.ADO.TFRT,YR2004,Interpolated using data for 2002 and 2007.
SP.DYN.AMRT.FE,YR2004,"Interpolated using data for 2002 and 2007, if the data source is United Nations World Population Prospects."
IC.GOV.DURS.ZS,YR2004,The sample was drawn from the manufacturing sector only.
IC.FRM.OUTG.ZS,YR2004,The sample was drawn from the manufacturing sector only.
IC.FRM.TRNG.ZS,YR2004,The sample was drawn from the manufacturing sector only.
IC.TAX.METG,YR2004,The sample was drawn from the manufacturing sector only.
IC.CUS.DURS.EX,YR2004,The sample was drawn from the manufacturing sector only.
IC.FRM.BNKS.ZS,YR2004,The sample was drawn from the manufacturing sector only.
IC.FRM.CORR.ZS,YR2004,The sample was drawn from the manufacturing sector only.
IC.FRM.CRIM.ZS,YR2004,The sample was drawn from the manufacturing sector only.
IC.FRM.DURS,YR2004,The sample was drawn from the manufacturing sector only.
IC.FRM.FEMO.ZS,YR2004,The sample was drawn from the manufacturing sector only.
IC.FRM.FREG.ZS,YR2004,The sample was drawn from the manufacturing sector only.
IC.FRM.ISOC.ZS,YR2004,The sample was drawn from the manufacturing sector only.
SP.DYN.AMRT.MA,YR2004,"Interpolated using data for 2002 and 2007, if the data source is United Nations World Population Prospects."
SP.DYN.TO65.FE.ZS,YR2004,Interpolated using data for 2002 and 2007.
SP.DYN.TO65.MA.ZS,YR2004,Interpolated using data for 2002 and 2007.
SP.DYN.TO65.MA.ZS,YR2005,Interpolated using data for 2002 and 2007.
SP.DYN.TO65.FE.ZS,YR2005,Interpolated using data for 2002 and 2007.
SP.DYN.AMRT.MA,YR2005,"Interpolated using data for 2002 and 2007, if the data source is United Nations World Population Prospects."
IC.FRM.ISOC.ZS,YR2005,The sample was drawn from the manufacturing sector only.
IC.FRM.FREG.ZS,YR2005,The sample was drawn from the manufacturing sector only.
IC.FRM.FEMO.ZS,YR2005,The sample was drawn from the manufacturing sector only.
IC.FRM.DURS,YR2005,The sample was drawn from the manufacturing sector only.
IC.FRM.CRIM.ZS,YR2005,The sample was drawn from the manufacturing sector only.
IC.FRM.CORR.ZS,YR2005,The sample was drawn from the manufacturing sector only.
IC.FRM.BNKS.ZS,YR2005,The sample was drawn from the manufacturing sector only.
IC.CUS.DURS.EX,YR2005,The sample was drawn from the manufacturing sector only.
IC.TAX.METG,YR2005,The sample was drawn from the manufacturing sector only.
IC.FRM.TRNG.ZS,YR2005,The sample was drawn from the manufacturing sector only.
IC.FRM.OUTG.ZS,YR2005,The sample was drawn from the manufacturing sector only.
IC.GOV.DURS.ZS,YR2005,The sample was drawn from the manufacturing sector only.
SP.DYN.AMRT.FE,YR2005,"Interpolated using data for 2002 and 2007, if the data source is United Nations World Population Prospects."
SP.ADO.TFRT,YR2005,Interpolated using data for 2002 and 2007.
SP.ADO.TFRT,YR2006,Interpolated using data for 2002 and 2007.
SP.DYN.AMRT.FE,YR2006,"Interpolated using data for 2002 and 2007, if the data source is United Nations World Population Prospects."
IC.GOV.DURS.ZS,YR2006,The sample was drawn from the manufacturing sector only.
IC.FRM.OUTG.ZS,YR2006,The sample was drawn from the manufacturing sector only.
IC.FRM.TRNG.ZS,YR2006,The sample was drawn from the manufacturing sector only.
IC.TAX.METG,YR2006,The sample was drawn from the manufacturing sector only.
IC.CUS.DURS.EX,YR2006,The sample was drawn from the manufacturing sector only.
IC.FRM.BNKS.ZS,YR2006,The sample was drawn from the manufacturing sector only.
IC.FRM.CORR.ZS,YR2006,The sample was drawn from the manufacturing sector only.
IC.FRM.CRIM.ZS,YR2006,The sample was drawn from the manufacturing sector only.
IC.FRM.DURS,YR2006,The sample was drawn from the manufacturing sector only.
IC.FRM.FEMO.ZS,YR2006,The sample was drawn from the manufacturing sector only.
IC.FRM.FREG.ZS,YR2006,The sample was drawn from the manufacturing sector only.
IC.FRM.ISOC.ZS,YR2006,The sample was drawn from the manufacturing sector only.
SP.DYN.AMRT.MA,YR2006,"Interpolated using data for 2002 and 2007, if the data source is United Nations World Population Prospects."
SP.DYN.TO65.FE.ZS,YR2006,Interpolated using data for 2002 and 2007.
SP.DYN.TO65.MA.ZS,YR2006,Interpolated using data for 2002 and 2007.
SP.DYN.TO65.MA.ZS,YR2007,The data refer to 2005-2010.
SP.DYN.TO65.FE.ZS,YR2007,The data refer to 2005-2010.
SP.DYN.AMRT.MA,YR2007,"The data refer to 2005-2010, if the data source is United Nations World Population Prospects."
IC.FRM.ISOC.ZS,YR2007,The sample was drawn from the manufacturing sector only.
IC.FRM.FREG.ZS,YR2007,The sample was drawn from the manufacturing sector only.
IC.FRM.FEMO.ZS,YR2007,The sample was drawn from the manufacturing sector only.
IC.FRM.DURS,YR2007,The sample was drawn from the manufacturing sector only.
IC.FRM.CRIM.ZS,YR2007,The sample was drawn from the manufacturing sector only.
IC.FRM.CORR.ZS,YR2007,The sample was drawn from the manufacturing sector only.
IC.FRM.BNKS.ZS,YR2007,The sample was drawn from the manufacturing sector only.
IC.CUS.DURS.EX,YR2007,The sample was drawn from the manufacturing sector only.
IC.TAX.METG,YR2007,The sample was drawn from the manufacturing sector only.
IQ.WEF.CUST.XQ,YR2007,Data are weighted averages for 2006 and 2007 survey results.
IC.FRM.TRNG.ZS,YR2007,The sample was drawn from the manufacturing sector only.
IC.FRM.OUTG.ZS,YR2007,The sample was drawn from the manufacturing sector only.
IC.GOV.DURS.ZS,YR2007,The sample was drawn from the manufacturing sector only.
IQ.WEF.PORT.XQ,YR2007,Data are weighted averages for 2006 and 2007 survey results.
