quote,author
"A person who is nice to you, but rude to the waiter, is not a nice person.",Dave Barry
It does not matter how slowly you go as long as you do not stop.,Confucius
"Try not. Do, or do not. There is no try.",Yoda
Our dreams feel real while we're in them. It's only when we wake we realize things were strange,"Cobb, Inception"
"The gateway skill to good time management is when you ask not just what you need to do, but how long it will take.",Julie Morgenstern
"Life is not a problem to be solved, but a reality to be experienced.",Soren Kierkegaard
Every moment is a fresh beginning.,T.S. Eliot
"Waking up this morning, I smile. 24 brand new hours are before me. I vow to live fully in each moment.",Thich Nhat Hanh
"Sell a man a fish, he eats for a day. Teach a man how to fish, you ruin a wonderful business opportunity.",Karl Marx
You must be the change you wish to see in the world.,Gandhi
A year from now you may wish you had started today.,Karen Lamb
"If you don’t build your dreams, someone will hire you to build theirs.",Tony Gaskins
"You must be the person you have never had the courage to be. Gradually, you will discover that you are that person, but until you can see this clearly, you must pretend and invent.",Paulo Coelho
The road to Easy Street goes through the sewer.,John Madden
"The harder I work, the luckier I get.",Gary Player
Just keep going. Everybody gets better if they keep at it.,Ted Williams
"'What day is it?' asked Pooh. 'It’s today,' squeaked Piglet. 'My favorite day,' said Pooh.",A.A. Milne
"The competitor to be feared is one who never bothers about you at all, but goes on making his own business better all the time.",Henry Ford
"People love to buy, they don't like to be sold.",Matthew Pollard
"Few ""great"" ideas come from an individual; instead, they’re gradually expanded on and improved by a team or network of individuals.",Jayson DeMers
It takes courage to grow up and become who you really are.,E.E. Cummings
Keep your face to the sunshine and you can never see the shadow.,Helen Keller
Look at everything always as though you were seeing it either for the first or last time: Thus is your time on earth filled with glory.,Betty Smith
Don’t downgrade your dream just to fit your reality.,Stuart Scott
"The trick is to enjoy life. Don't wish away your days, waiting for better ones ahead.",Marjorie Pay Hinckley
Action is the foundational key to all success.,Pablo Picasso
There is only one success: to be able to spend your life in your own way.,Christopher Morley
"Life is beautiful, as long as it consumes you.",Socrates
Make each day your masterpiece.,John Wooden
Never let your memories be greater than your dreams.,Doug Ivester
Write it on your heart that every day is the best day in the year.,Ralph Waldo Emerson
The best way to predict the future is to invent it.,Alan Kay
"The best time to plant a tree was twenty years ago, the second-best time is right now.",Chinese Proverb
"I think laziness is a cardinal sin -- not in the sense that you should always keep busy, but in the sense that if you have the potential to create something that can be useful to others, then you should do everything you can to make it happen.",François Chollet
Do what you love and the money will follow.,Marsha Sinetar
Champions keep playing until they get it right.,Billie Jean King
The best way out is always through.,Robert Frost
"Every morning, I imagine creating a new business that needs to be sold by the end of the day. I better hustle today!","Manuel Amuantegui, Finding Motivation in Unusual Places"
The highest profits are made in trades that show a profit right from the start.,Jesse Livermore
"Fact is, no one cares about your marketing goals. But everyone likes a good story.",Shane Snow
"It is much more difficult to judge oneself than to judge others. If you succeed in judging yourself rightly, then you are indeed a man of true wisdom.",Antoine de Saint-Exupéry
The first principle is that you must not fool yourself and you are the easiest person to fool.,Richard Feynman
The best dreams happen when you’re awake.,Cherie Gilderbloom
Remember that sometimes not getting what you want is a wonderful stroke of luck.,Dalai Lama
I'm sure the universe is full of intelligent life. It's just been too intelligent to come here.,Arthur C. Clarke
"Don’t wish it were easier, wish you were better.",Jim Rohn
"Out yonder there was this huge world, which exists independently of us human beings and which stands before us like a great, eternal riddle, at least partially accessible to our inspection and thinking. The contemplation of this world beckoned like a liberation…",Albert Einstein
"Life is beautiful, so long as it is consuming you. When it is rushing through you, destroying you, life is glorious. It is best to roar away, like a fire with a great draught, white-hot to the last bit.",D.H. Lawrence
I offer you peace. I offer you love. I offer you friendship. I see your beauty. I hear your need. I feel your feelings.,Mahatma Gandhi
"When we are mindful, deeply in touch with the present moment, our understanding of what is going on deepens, and we begin to be filled with acceptance, joy, peace and love.",Thich Nhat Hanh
